1.9643,5.3617e-06,7.3542e-05
1.9821,5.4546e-06,7.554e-05
2,5.5473e-06,7.7576e-05
2,5.5454e-06,7.7568e-05
1.9821,5.4458e-06,7.5474e-05
1.9643,5.3472e-06,7.3414e-05
1.9464,5.2488e-06,7.1382e-05
1.9286,5.1527e-06,6.9422e-05
1.9107,5.0568e-06,6.7458e-05
1.8929,4.9617e-06,6.5554e-05
1.875,4.8687e-06,6.3672e-05
1.8571,4.7762e-06,6.182e-05
1.8393,4.6841e-06,6.0012e-05
1.8214,4.5921e-06,5.825e-05
1.8036,4.5028e-06,5.653e-05
1.7857,4.4134e-06,5.4818e-05
1.7679,4.3235e-06,5.3158e-05
1.75,4.2349e-06,5.153e-05
1.7321,4.1484e-06,4.9912e-05
1.7143,4.0606e-06,4.8348e-05
1.6964,3.9759e-06,4.68e-05
1.6786,3.8908e-06,4.529e-05
1.6607,3.8075e-06,4.3828e-05
1.6429,3.7242e-06,4.238e-05
1.625,3.6411e-06,4.098e-05
1.6071,3.5588e-06,3.9578e-05
1.5893,3.4785e-06,3.8232e-05
1.5714,3.3989e-06,3.6904e-05
1.5536,3.3197e-06,3.5622e-05
1.5357,3.2406e-06,3.4368e-05
1.5179,3.1633e-06,3.3148e-05
1.5,3.0857e-06,3.1928e-05
1.4821,3.009e-06,3.074e-05
1.4643,2.9343e-06,2.9596e-05
1.4464,2.8595e-06,2.848e-05
1.4286,2.7865e-06,2.7406e-05
1.4107,2.7128e-06,2.6332e-05
1.3929,2.6415e-06,2.5308e-05
1.375,2.5711e-06,2.4302e-05
1.3571,2.5014e-06,2.331e-05
1.3393,2.4315e-06,2.2366e-05
1.3214,2.3629e-06,2.1426e-05
1.3036,2.2955e-06,2.054e-05
1.2857,2.2284e-06,1.9656e-05
1.2679,2.1642e-06,1.8802e-05
1.25,2.0984e-06,1.7974e-05
1.2321,2.035e-06,1.7164e-05
1.2143,1.9718e-06,1.6388e-05
1.1964,1.91e-06,1.5638e-05
1.1786,1.8488e-06,1.4906e-05
1.1607,1.7882e-06,1.419e-05
1.1429,1.7297e-06,1.351e-05
1.125,1.6702e-06,1.2844e-05
1.1071,1.6127e-06,1.2194e-05
